link,dataset_identifier,data_repository,classification,dataset_page,source_url,download_link,title,content_type,id,surrounding_text,description,class
http://bigd.big.ac.cn/gsa,CRA001724, http://bigd.big.ac.cn/gsa  ,dataset,http://bigd.big.ac.cn/gsa/browse/CRA001724,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,,,,,,,
http://www.treebase.org/,TreeBASE: 22964, http://www.treebase.org/  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,,,,,,,
mmc1.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc1.pdf,Supplementary Figure S1,local-data,m0115,"Supplementary Figure S1 Frequency distribution of 17-mers The two peak depths in  A. cylindracea  are ~51 and ~101. The first peak is a hybrid peak, which indicates high heterozygosity of  A. cylindracea . Based on the second peak, we estimated that the genome size of  A. cylindracea  is 58.2 Mb.","Frequency distribution of 17-mers The two peak depths in  A. cylindracea  are ~51 and ~101. The first peak is a hybrid peak, which indicates high heterozygosity of  A. cylindracea . Based on the second peak, we estimated that the genome size of  A. cylindracea  is 58.2 Mb.",supplementary material
mmc2.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc2.pdf,Supplementary Figure S2,local-data,m0110,"Supplementary Figure S2 
             Mating type loci of  A. cylindracea A.  A single MAT  A  locus of genes encoding HD1 (pink box) and HD2 (green) homeodomain proteins and a MAT  B  locus of genes encoding pheromones (gray) and pheromone receptors (yellow) are positioned on different scaffolds. The blue box represents the gene encoding mitochondrial intermediate peptidase (MIP).  B.  Seven-transmembrane feature of pheromone receptors.",Mating type loci of  A. cylindracea A.  A single MAT  A  locus of genes encoding HD1 (pink box) and HD2 (green) homeodomain proteins and a MAT  B  locus of genes encoding pheromones (gray) and pheromone receptors (yellow) are positioned on different scaffolds. The blue box represents the gene encoding mitochondrial intermediate peptidase (MIP).  B.  Seven-transmembrane feature of pheromone receptors.,supplementary material
mmc3.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc3.pdf,Supplementary Figure S3,local-data,m0105,"Supplementary Figure S3 
             Phylogenetic analysis of  A. cylindracea  and 16 Agaricales fungi based on single-copy orthologous genes. The phylogenetic tree was inferred based on RAxML from 315 orthologous proteins of the single-copy gene families.  Serpula lacrymans  serves as an outgroup. There is a close relationship between  A. cylindracea  and  A. aegerita .",Phylogenetic analysis of  A. cylindracea  and 16 Agaricales fungi based on single-copy orthologous genes. The phylogenetic tree was inferred based on RAxML from 315 orthologous proteins of the single-copy gene families.  Serpula lacrymans  serves as an outgroup. There is a close relationship between  A. cylindracea  and  A. aegerita .,supplementary material
mmc4.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc4.pdf,Supplementary Figure S4,local-data,m0100,"Supplementary Figure S4 
             GO enrichment of  A. cylindracea -specific genes compared with  A. aegerita ,  G. marginata ,  H. cylindrosporum , and  H. sublateritium  Each circle represents a family of GO terms, and the circle size reflects the number of enrichment genes. The arrows point from parental GO terms to the filial GO terms. The darker the color is, the more significant the enrichment is.  A.  GO enrichment analysis of  A. cylindracea -specific genes compared with  A. aegerita  in the BP category.  B.  GO enrichment analysis of  A. cylindracea -specific genes compared with  A. aegerita  in MF category.  C.  GO enrichment analysis of  A. cylindracea -specific genes compared with the other four fungi in the BP category.  D.  GO enrichment analysis of  A. cylindracea -specific genes compared with the other four fungi in the MF category. BP, biological process; MF, molecular function.","GO enrichment of  A. cylindracea -specific genes compared with  A. aegerita ,  G. marginata ,  H. cylindrosporum , and  H. sublateritium  Each circle represents a family of GO terms, and the circle size reflects the number of enrichment genes. The arrows point from parental GO terms to the filial GO terms. The darker the color is, the more significant the enrichment is.  A.  GO enrichment analysis of  A. cylindracea -specific genes compared with  A. aegerita  in the BP category.  B.  GO enrichment analysis of  A. cylindracea -specific genes compared with  A. aegerita  in MF category.  C.  GO enrichment analysis of  A. cylindracea -specific genes compared with the other four fungi in the BP category.  D.  GO enrichment analysis of  A. cylindracea -specific genes compared with the other four fungi in the MF category. BP, biological process; MF, molecular function.",supplementary material
mmc5.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc5.pdf,Supplementary Figure S5,local-data,m0095,"Supplementary Figure S5 
             Homologous genes shared among  A. cylindracea ,  A. aegerita ,  G. marginata ,  H. cylindrosporum , and  H. sublateritium  The triangle represents the total genes of  A. cylindracea . The ovals represent the shared homologous genes of  A. aegerita  (red), G. marginata (green), H. cylindrosporum (blue), and H. sublateritium (yellow) with  A. cylindracea .","Homologous genes shared among  A. cylindracea ,  A. aegerita ,  G. marginata ,  H. cylindrosporum , and  H. sublateritium  The triangle represents the total genes of  A. cylindracea . The ovals represent the shared homologous genes of  A. aegerita  (red), G. marginata (green), H. cylindrosporum (blue), and H. sublateritium (yellow) with  A. cylindracea .",supplementary material
mmc6.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc6.pdf,Supplementary Figure S6,local-data,m0090,"Supplementary Figure S6 
             Signal peptide ratio in  A. cylindracea  The vertical axis represents the percentage of proteins with signal peptides, and the horizontal axis represents functional proteins annotated by different databases: “All” represents all the predicted proteins in  A. cylindracea ; “CAZy” represents the carbohydrate hydrolytic enzymes in  A. cylindracea  based on the CAZy database; “MEROPS” represents the proteases in  A. cylindracea  based on the MEROPS database; “Transporter” represents the transporter-related proteins according to gene annotation in NCBI-NR database. The numbers above the columns represent the number of proteins with signal peptides in various databases.","Signal peptide ratio in  A. cylindracea  The vertical axis represents the percentage of proteins with signal peptides, and the horizontal axis represents functional proteins annotated by different databases: “All” represents all the predicted proteins in  A. cylindracea ; “CAZy” represents the carbohydrate hydrolytic enzymes in  A. cylindracea  based on the CAZy database; “MEROPS” represents the proteases in  A. cylindracea  based on the MEROPS database; “Transporter” represents the transporter-related proteins according to gene annotation in NCBI-NR database. The numbers above the columns represent the number of proteins with signal peptides in various databases.",supplementary material
mmc7.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc7.pdf,Supplementary Figure S7,local-data,m0085,"Supplementary Figure S7 
             Consistency between biological replicates of the  A. cylindracea  transcriptomic data. Both pilei ( A, B, and  C) and stipes ( D, E, and F ) of  A. cylindracea  fruiting bodies have three biological replicates. Graphics reveal a very high consistency between biological replicates: pilei_1, pilei_2, and pilei_3 are the biological replicates of the pilei, and stipes_1, stipes_2, and stipes_3 represent the biological replicates of the stipes. FPKM represents the gene expression level. The most highly expressed gene in pilei encodes aegerolysin (Aa-Pri1), while the most highly expressed gene in stipes encodes calmodulin.","Consistency between biological replicates of the  A. cylindracea  transcriptomic data. Both pilei ( A, B, and  C) and stipes ( D, E, and F ) of  A. cylindracea  fruiting bodies have three biological replicates. Graphics reveal a very high consistency between biological replicates: pilei_1, pilei_2, and pilei_3 are the biological replicates of the pilei, and stipes_1, stipes_2, and stipes_3 represent the biological replicates of the stipes. FPKM represents the gene expression level. The most highly expressed gene in pilei encodes aegerolysin (Aa-Pri1), while the most highly expressed gene in stipes encodes calmodulin.",supplementary material
mmc8.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc8.xlsx,Supplementary Table S1,local-data,m0080,Supplementary Table S1,No description,supplementary material
