link,content_type,dataset_identifier,data_repository,source_section,dataset_webpage,source_url,download_link,title,id,surrounding_text,description,file_extension
http://www.ebi.ac.uk/pride/archive/,data_link,PXD053567,http://www.ebi.ac.uk/pride/archive/,data availability,https://www.ebi.ac.uk/pride/archive/projects/PXD053567,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,,,,,,
41598_2024_67079_MOESM1_ESM.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11252349/bin/41598_2024_67079_MOESM1_ESM.zip,No Title,MOESM1,Supplementary Information.,Supplementary Information.,zip
41598_2024_67079_MOESM1_ESM.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11252349/bin/41598_2024_67079_MOESM1_ESM.zip,No Title,MOESM1,Supplementary Information.,Supplementary Information.,zip
n/a,,MSV000092944,massive.ucsd.edu,data availability from webpage,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/,,,,"Data Availability Statement
Proteomics data can be found at the MassIVE database via MSV000092944.",,n/a
https://astrazenecagroup-dt.pharmacm.com/DT/Home,data_link,PXD052949,https://www.proteomexchange.org/,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://www.proteomexchange.org/,data_link,PXD052949,https://www.proteomexchange.org/,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
https://assays.cancer.gov/available_assays,data_link,PXD052949,https://www.proteomexchange.org/,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,
n/a,,PXD045268,proteomecentral.proteomexchange.org,data availability from webpage,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD045268,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,"Data Availability Statement
The mass spectrometry proteomics data have been deposited to the ProteomeXchange Consortium via the PRIDE28 partner repository with the dataset identifier PXD045268.",,
n/a,,PXD045268,proteomecentral.proteomexchange.org,data availability from webpage,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD045268,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,"Data Availability Statement
The mass spectrometry proteomics data have been deposited to the ProteomeXchange Consortium via the PRIDE28 partner repository with the dataset identifier PXD045268.",,
noad265_suppl_supplementary_table_s1.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s1.xlsx,No Title,sup9,noad265_suppl_Supplementary_Table_S1,No description,xlsx
noad265_suppl_supplementary_table_s2.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s2.xlsx,No Title,sup10,noad265_suppl_Supplementary_Table_S2,No description,xlsx
noad265_suppl_supplementary_table_s3.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s3.xlsx,No Title,sup11,noad265_suppl_Supplementary_Table_S3,No description,xlsx
noad265_suppl_supplementary_table_s4.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s4.xlsx,No Title,sup12,noad265_suppl_Supplementary_Table_S4,No description,xlsx
noad265_suppl_supplementary_table_s5.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s5.xlsx,No Title,sup13,noad265_suppl_Supplementary_Table_S5,No description,xlsx
noad265_suppl_supplementary_table_s6.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s6.xlsx,No Title,sup14,noad265_suppl_Supplementary_Table_S6,No description,xlsx
noad265_suppl_supplementary_table_s7.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s7.xlsx,No Title,sup15,noad265_suppl_Supplementary_Table_S7,No description,xlsx
noad265_suppl_supplementary_table_s1.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s1.xlsx,No Title,sup9,noad265_suppl_Supplementary_Table_S1,No description,xlsx
noad265_suppl_supplementary_table_s2.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s2.xlsx,No Title,sup10,noad265_suppl_Supplementary_Table_S2,No description,xlsx
noad265_suppl_supplementary_table_s3.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s3.xlsx,No Title,sup11,noad265_suppl_Supplementary_Table_S3,No description,xlsx
noad265_suppl_supplementary_table_s4.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s4.xlsx,No Title,sup12,noad265_suppl_Supplementary_Table_S4,No description,xlsx
noad265_suppl_supplementary_table_s5.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s5.xlsx,No Title,sup13,noad265_suppl_Supplementary_Table_S5,No description,xlsx
noad265_suppl_supplementary_table_s6.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s6.xlsx,No Title,sup14,noad265_suppl_Supplementary_Table_S6,No description,xlsx
noad265_suppl_supplementary_table_s7.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s7.xlsx,No Title,sup15,noad265_suppl_Supplementary_Table_S7,No description,xlsx
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/#app1-biomolecules-14-00969,data_link,JPST002506,accessedon29July2024,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/#app1-biomolecules-14-00969,data_link,PXD049309,accessedon29July2024,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,,,
n/a,,PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,data availability from webpage,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,"Data Availability Statement
All data generated or analyzed during this study are included in this published article and its Supplementary Information Files. The MS/MS raw data and analysis have been deposited in the ProteomeXchange Consortium via the jPOST partner repository with the data set identifier JPST002506 and PXD049309 (https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309, accessed on 29 July 2024).",,
