link,content_type,dataset_identifier,data_repository,source_section,dataset_webpage,source_url,download_link,title,id,surrounding_text,description
http://www.ebi.ac.uk/pride/archive/,data_link,PXD053567,http://www.ebi.ac.uk/pride/archive/,data availability,https://www.ebi.ac.uk/pride/archive/projects/PXD053567,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,,,,,
41598_2024_67079_MOESM1_ESM.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11252349/bin/41598_2024_67079_MOESM1_ESM.zip,No Title,MOESM1,Supplementary Information.,Supplementary Information.
41598_2024_67079_MOESM1_ESM.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11252349/bin/41598_2024_67079_MOESM1_ESM.zip,No Title,MOESM1,Supplementary Information.,Supplementary Information.
https://astrazenecagroup-dt.pharmacm.com/DT/Home,data_link,PXD052949,https://www.proteomexchange.org/,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,
https://www.proteomexchange.org/,data_link,PXD052949,https://www.proteomexchange.org/,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,
https://assays.cancer.gov/available_assays,data_link,PXD052949,https://www.proteomexchange.org/,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,
crc-24-0113_supplementary_methods_s1_suppsm1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_methods_s1_suppsm1.pdf,No Title,No ID,"Supplementary Methods S1 
         
           Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS","Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS"
crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,No Title,No ID,"Supplementary Validation Data S1 
         
           Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay",Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay
crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,No Title,No ID,"Supplementary Validation Data S2 
         
           Quality Assessment of the Global Proteomics Data",Quality Assessment of the Global Proteomics Data
crc-24-0113_supplementary_figure_s1_suppsf1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s1_suppsf1.pdf,No Title,No ID,"Supplementary Figure S1 
         
           Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score","Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score"
