dataset_identifier,data_repository,decision_rationale,dataset_webpage,source_url
EGAS00001000925,http://www.translational-genomics.uni-koeln.de/scientific-resources/,"The identifier EGAS00001000925 indicates that this dataset is part of the European Genome-phenome Archive, which is commonly used for genomic studies. The publication focuses on comprehensive genomic profiles of small cell lung cancer, and this dataset likely supports the research conclusions by providing genomic data relevant to the study.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861069
GSE69091,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69091,"The identifier GSE69091 refers to a dataset available in the Gene Expression Omnibus (GEO), a repository for high-throughput gene expression data. This dataset is mentioned in the context of analyzing transcriptome sequencing data of SCLC specimens, indicating its role in supporting the findings of the publication.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861069
n/a,n/a,No specific dataset identifiers were found in the publication that match the known data repositories provided. The publication primarily discusses genomic sequencing and alterations in small cell lung cancer without citing additional datasets beyond those already identified.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861069
EGAS50000000169,https://ega-archive.org/studies/EGAS50000000169,"The identifier `EGAS50000000169` indicates this dataset is housed in the European Genome-phenome Archive, which is a repository for genomic data. The publication discusses genomic alterations in small cell lung cancer, and this dataset likely contains relevant genomic sequencing data that supports the research findings.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747
n/a,n/a,"No specific dataset identifiers or repository references were provided in the publication beyond the mentioned EGA dataset. Therefore, no additional datasets can be identified.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747
phs003416.v1.p1,https://www.ncbi.nlm.nih.gov/gap/study/PHs003416.v1.p1,"This dataset identifier corresponds to a dbGaP study, which is relevant for genomic and epigenomic research. The publication discusses DNA methylation in small cell lung cancer, and this dataset likely contains the genomic data necessary to support the findings and conclusions drawn in the study.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
EGAS00001000925,https://ega-archive.org/datasets/EGAS00001000925,"The identifier 'EGAS' indicates that this dataset is part of the European Genome-phenome Archive, which is commonly used for genomic studies. The publication focuses on small cell lung cancer and DNA methylation, suggesting that this dataset may provide critical genomic context for the research discussed.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
GSE241673,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241673,"This identifier refers to a dataset in the Gene Expression Omnibus (GEO), which is a repository for high-throughput gene expression data. The publication's focus on RNA-seq data for small cell lung cancer indicates that this dataset is likely used to support the analysis of gene expression patterns relevant to the study.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
n/a,n/a,No additional dataset identifiers or repository references were found in the publication that fit the specified repositories.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
EGAS00001000334,https://ega-archive.org/datasets/EGAS00001000334,"The identifier `EGAS` indicates this dataset belongs to the European Genome-phenome Archive, which is commonly used for genomic studies. The publication discusses genomic alterations in small-cell lung cancer, and this dataset likely contains relevant genomic data that supports the research conclusions.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3557461
n/a,n/a,No specific dataset identifiers or repository references were found in the publication. The study mentions various genomic analyses but does not provide direct links to datasets in the known repositories.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3557461
phs001249.v1.p1,https://www.ncbi.nlm.nih.gov/gap/?term=phs001249.v1.p1,"The identifier 'phs001249.v1.p1' indicates a dataset available in the dbGaP repository, which is commonly used for genomic studies. This dataset likely supports the research conclusions regarding the genetic and epigenetic factors influencing chemoresistance in small cell lung cancer.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5313262
n/a,n/a,"No additional dataset identifiers or repository references were found in the publication. The focus was primarily on the mechanisms of acquired resistance and the role of specific genes like SLFN11 and EZH2, rather than on specific datasets.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5313262
GSE60052,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60052,"The identifier `GSE` indicates this dataset is part of the Gene Expression Omnibus, a repository for high-throughput gene expression data. This dataset is relevant as it contains RNA sequencing data that supports the findings related to SRSF1 expression in the study.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692
phs001083.v1.p1,http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001083.v1.p1,"The `phs` identifier indicates this dataset is part of the dbGaP (Database of Genotypes and Phenotypes), which is used for storing and sharing genomic data. This dataset is significant as it includes whole exome sequencing data that is central to the study's conclusions about genetic alterations in small cell lung cancer.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692
PHS001049,https://www.ncbi.nlm.nih.gov/gap/?term=PHS001049,"The identifier 'PHS001049' indicates a dataset associated with dbGAP, which is a repository for genomic data. The publication discusses genomic and transcriptomic analyses of small cell lung cancer, suggesting that this dataset is likely central to the research findings.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6141466
PRJNA306801,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA306801,"The identifier 'PRJNA306801' refers to a BioProject repository, which typically contains information about large-scale genomic studies. This dataset is relevant as it supports the genomic analysis presented in the publication, focusing on small cell lung cancer.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6141466
phs001366.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001366.v1.p1,"The identifier `phs001366.v1.p1` indicates this dataset is part of the dbGaP (Database of Genotypes and Phenotypes), which is a repository for genomic data. This dataset is crucial as it contains the genomic profiling data used in the study to identify actionable alterations in small cell lung cancer patients.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460863
EGAS00001000299,https://ega-archive.org/datasets/EGAS00001000299,"The dataset identifier indicates that this dataset is stored in the European Genome-phenome Archive (EGA), which is commonly used for genomic data. The publication discusses genomic analyses of small cell lung cancer, and this dataset likely contains relevant genomic data that supports the findings of the study.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4915822
n/a,n/a,No other specific dataset identifiers or repository references were mentioned in the publication beyond the EGA dataset.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4915822
