dataset_identifier,data_repository,decision_rationale,dataset_webpage,source_url
EGAS00001000925,https://ega-archive.org/datasets/EGAS00001000925,This dataset identifier is mentioned in the footnotes as being deposited at the European Genome-phenome Archive.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861069
GSE69091,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69091,This dataset identifier is mentioned in the footnotes as being accessible through the Gene Expression Omnibus.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861069
EGAS50000000169,https://ega-archive.org/studies/EGAS50000000169,"The dataset identifier 'EGAS50000000169' is mentioned in the data availability section, indicating that the raw sequencing data are deposited in the European Genome-Phenome Archive under this accession number.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747
phs003416.v1.p1,dbGaP,The dataset identifier 'phs003416.v1.p1' is mentioned multiple times in the publication as the accession number for raw sequencing data deposited in dbGaP.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
GSE241673,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241673,The dataset identifier 'GSE241673' is mentioned as the accession number for sequencing data from cell lines deposited in GEO.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
EGAS00001000925,https://ega-archive.org/datasets/EGAS00001000925,The dataset identifier 'EGAS00001000925' is mentioned as a source for RNA-seq data of SCLC specimens from a previous study by George et al.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
EGAS00001004888,https://ega-archive.org/datasets/EGAS00001004888,The dataset identifier 'EGAS00001004888' is mentioned as a source for RNA-seq data of SCLC specimens from the IMPower133 study.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
EGAS00001000334,https://ega-archive.org/datasets/EGAS00001000334,"This dataset identifier is mentioned in the footnotes as being deposited at the European Genome-phenome Archive (EGA), which is a known data repository.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3557461
phs001249.v1.p1,dbGaP,The dataset identifier 'phs001249.v1.p1' is explicitly mentioned in the publication as being available in the database of Genotypes and Phenotypes (dbGaP).,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5313262
GSE60052,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60052,This dataset identifier is explicitly mentioned in the article as the accession number for RNASeq data deposited in the GEO database.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692
phs001083.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001083.v1.p1,This dataset identifier is explicitly mentioned in the article as the accession number for WES data deposited in the dbGaP database.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692
PHS001049,https://www.ncbi.nlm.nih.gov/gap/?term=PHS001049,"The dataset identifier PHS001049 is explicitly mentioned in the data availability section, indicating it is deposited in dbGAP, a known data repository.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6141466
