"ROW_ID","ROW_VERSION","pmcid","synid","context"
"1","16","pmc:PMC10001072","syn23630203","al. [ 35 ] at Synapse ID syn23630203. Human cell line and RPM"
"2","16","pmc:PMC10002464","syn47354875","https://doi.org/10.7303/syn47354875 , accessed on 25 January"
"3","16","pmc:PMC10005937","syn9702085","ww.synapse.org/#!Synapse:syn9702085 ) were re-aligned to GRC"
"4","16","pmc:PMC10005937","syn22264775","ww.synapse.org/#!Synapse:syn22264775 ) were converted to a PL"
"5","16","pmc:PMC10011140","syn2759792","CMC 99 (accession code: syn2759792), CMC_HBCC (accession co"
"6","16","pmc:PMC10011140","syn10623034","MC_HBCC (accession code: syn10623034), AMP-AD 5 (accession co"
"7","16","pmc:PMC10011140","syn2580853","MP-AD 5 (accession code: syn2580853; the snRNA-seq data were"
"8","16","pmc:PMC10011140","syn18485175","e Synapse accession code syn18485175 and the IHC data were fr"
"9","16","pmc:PMC10011140","syn12299750","rainSeq (accession code: syn12299750), UCLA_ASD data (accessi"
"10","16","pmc:PMC10011140","syn4587609","SD data (accession code: syn4587609), BrainGVEx (accession c"
"11","16","pmc:PMC10011140","syn4590909","ainGVEx (accession code: syn4590909) and BipSeq (accession c"
"12","16","pmc:PMC10011140","syn5844980","BipSeq (accession code: syn5844980) data were downloaded fr"
"13","16","pmc:PMC10013873","syn30821563","pse via accession number syn30821563. Supplementary Material"
"14","16","pmc:PMC10014304","syn4231880","ww.synapse.org/#!Synapse:syn4231880/wiki/235645 LINCS L1000"
"15","16","pmc:PMC10025452","syn12033252","downloaded from Synapse (syn12033252) and processed as indivi"
"16","16","pmc:PMC10025681","syn11806255","ww.synapse.org/#!Synapse:syn11806255 . The file contains the"
"17","16","pmc:PMC10028786","syn20808171","Portal (accession number syn20808171, https://adknowledgeport"
"18","16","pmc:PMC10028977","syn51170082","ww.synapse.org/#!Synapse:syn51170082/files/ ). REFERENCES 1."
"19","16","pmc:PMC10029021","syn50897018","ww.synapse.org/#!Synapse:syn50897018.3/datasets/ References a"
"20","16","pmc:PMC10031009","syn46580597","ww.synapse.org/#!Synapse:syn46580597/files/ . Author contribu"
"21","16","pmc:PMC10039068","syn20940518","ww.synapse.org/#!Synapse:syn20940518/wiki/ (2020). 18. Zeng A"
"22","16","pmc:PMC10039465","syn2580853","https://doi.org/10.7303/syn2580853 ). All RNA sequencing da"
"23","16","pmc:PMC10041447","syn20933797","ww.synapse.org/#!Synapse:syn20933797/files/ . REFERENCES [1]"
"24","16","pmc:PMC10041734","syn33569299","on www.synapse.org , ID syn33569299. Declarations Ethics app"
"25","16","pmc:PMC10043753","syn2374375","ww.synapse.org/#!Synapse:syn2374375/files/ ). Sites that had"
"26","16","pmc:PMC10044680","syn25895958","ww.synapse.org/#!Synapse:syn25895958 . The GFF3 used is avail"
